S No,Fuel,State,Year,Month,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2026,JAN,"46,377"
2,DIESEL,All Vahan4 Running States (35/36),2026,JAN,"3,16,192"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,JAN,"1,010"
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,JAN,"52,012"
5,ETHANOL,All Vahan4 Running States (35/36),2026,JAN,7
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,JAN,4
7,LNG,All Vahan4 Running States (35/36),2026,JAN,57
8,LPG ONLY,All Vahan4 Running States (35/36),2026,JAN,"3,075"
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,JAN,"7,419"
10,PETROL,All Vahan4 Running States (35/36),2026,JAN,"6,65,404"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,JAN,"29,792"
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,JAN,"88,790"
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,JAN,"26,717"
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,JAN,8
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,JAN,157
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,JAN,"13,17,896"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,JAN,"7,849"
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,JAN,3
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,JAN,211
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,JAN,5
21,PURE EV,All Vahan4 Running States (35/36),2026,JAN,"1,68,043"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,JAN,"11,408"
1,CNG ONLY,All Vahan4 Running States (35/36),2026,FEB,"30,856"
2,DIESEL,All Vahan4 Running States (35/36),2026,FEB,"2,01,259"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,FEB,697
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,FEB,"32,130"
5,ETHANOL,All Vahan4 Running States (35/36),2026,FEB,4
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,FEB,0
7,LNG,All Vahan4 Running States (35/36),2026,FEB,4
8,LPG ONLY,All Vahan4 Running States (35/36),2026,FEB,"2,311"
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,FEB,"5,079"
10,PETROL,All Vahan4 Running States (35/36),2026,FEB,"4,55,464"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,FEB,"12,137"
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,FEB,"53,935"
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,FEB,"13,032"
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,FEB,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,FEB,5
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,FEB,"8,77,886"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,FEB,"3,685"
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,FEB,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,FEB,8
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,FEB,1
21,PURE EV,All Vahan4 Running States (35/36),2026,FEB,"1,09,149"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,FEB,"6,326"
1,DIESEL,Andaman & Nicobar Island(3),2026,JAN,57
2,PETROL,Andaman & Nicobar Island(3),2026,JAN,270
3,PETROL/CNG,Andaman & Nicobar Island(3),2026,JAN,3
4,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2026,JAN,1
5,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2026,JAN,20
6,PETROL/ETHANOL,Andaman & Nicobar Island(3),2026,JAN,694
7,PETROL/HYBRID,Andaman & Nicobar Island(3),2026,JAN,5
8,PURE EV,Andaman & Nicobar Island(3),2026,JAN,10
9,STRONG HYBRID EV,Andaman & Nicobar Island(3),2026,JAN,5
1,DIESEL,Andaman & Nicobar Island(3),2026,FEB,46
2,PETROL,Andaman & Nicobar Island(3),2026,FEB,157
3,PETROL/CNG,Andaman & Nicobar Island(3),2026,FEB,0
4,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2026,FEB,0
5,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2026,FEB,26
6,PETROL/ETHANOL,Andaman & Nicobar Island(3),2026,FEB,393
7,PETROL/HYBRID,Andaman & Nicobar Island(3),2026,FEB,5
8,PURE EV,Andaman & Nicobar Island(3),2026,FEB,10
9,STRONG HYBRID EV,Andaman & Nicobar Island(3),2026,FEB,0
1,CNG ONLY,Andhra Pradesh(84),2026,JAN,669
2,DIESEL,Andhra Pradesh(84),2026,JAN,"8,976"
3,DIESEL/HYBRID,Andhra Pradesh(84),2026,JAN,24
4,ELECTRIC(BOV),Andhra Pradesh(84),2026,JAN,493
5,ETHANOL,Andhra Pradesh(84),2026,JAN,1
6,NOT APPLICABLE,Andhra Pradesh(84),2026,JAN,508
7,PETROL,Andhra Pradesh(84),2026,JAN,"16,335"
8,PETROL/CNG,Andhra Pradesh(84),2026,JAN,164
9,PETROL(E20)/CNG,Andhra Pradesh(84),2026,JAN,851
10,PETROL(E20)/HYBRID,Andhra Pradesh(84),2026,JAN,591
11,PETROL/ETHANOL,Andhra Pradesh(84),2026,JAN,"37,897"
12,PETROL/HYBRID,Andhra Pradesh(84),2026,JAN,137
13,PURE EV,Andhra Pradesh(84),2026,JAN,"4,730"
14,STRONG HYBRID EV,Andhra Pradesh(84),2026,JAN,168
1,CNG ONLY,Andhra Pradesh(84),2026,FEB,835
2,DIESEL,Andhra Pradesh(84),2026,FEB,"8,979"
3,DIESEL/HYBRID,Andhra Pradesh(84),2026,FEB,14
4,ELECTRIC(BOV),Andhra Pradesh(84),2026,FEB,567
5,ETHANOL,Andhra Pradesh(84),2026,FEB,0
6,NOT APPLICABLE,Andhra Pradesh(84),2026,FEB,596
