S No,Norms,State,Year,Fuel,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
13,EURO 1,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
14,EURO 2,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
15,EURO 3,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
16,EURO 4,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
17,EURO 6,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
13,EURO 1,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
14,EURO 2,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
15,EURO 3,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
16,EURO 4,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
17,EURO 6,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
18,EURO 6B,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
19,EURO 6D,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
13,EURO 1,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
14,EURO 2,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
15,EURO 3,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
16,EURO 4,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
17,EURO 6,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,CNG ONLY,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,CNG ONLY,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,CNG ONLY,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,CNG ONLY,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,CNG ONLY,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,CNG ONLY,2
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,CNG ONLY,"4,79,565"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,CNG ONLY,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,CNG ONLY,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,CNG ONLY,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,CNG ONLY,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,CNG ONLY,0
13,EURO 1,All Vahan4 Running States (35/36),2025,CNG ONLY,0
