S No,Vehicle Class,State,Year,Fuel,Value
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
3,AMBULANCE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
9,BULLDOZER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
10,BUS,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
11,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
12,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
13,CASH VAN,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
14,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
16,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
17,DUMPER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
18,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
19,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
20,E-RICKSHAW(P),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
21,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
22,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
23,EXCAVATOR (NT),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
24,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
25,FIRE TENDERS,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
26,FORK LIFT,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
27,GOODS CARRIER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
28,HARVESTER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
29,HEARSES,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
30,LIBRARY VAN,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
31,LUXURY CAB,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
32,MAXI CAB,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
33,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
34,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
35,MOBILE CANTEEN,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
36,MOBILE CLINIC,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
37,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
38,MOPED,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
39,MOTOR CAB,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
40,MOTOR CAR,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
41,MOTOR CARAVAN,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
42,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
43,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
44,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
45,OMNI BUS,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
46,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
47,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
48,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
49,PULLER TRACTOR,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
50,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
51,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
52,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
53,ROAD ROLLER,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
54,SCHOOL BUS,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
55,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
56,SNORKED LADDERS,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
57,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
58,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
59,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
60,TOWER WAGON,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
61,TOW TRUCK,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
62,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
63,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
64,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
65,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
66,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
67,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
68,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
69,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
70,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
71,VINTAGE MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
72,X-RAY VAN,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
