S No,Fuel,State,Year,Month Wise,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2025,JAN,"47,760"
2,DIESEL,All Vahan4 Running States (35/36),2025,JAN,"2,70,334"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,JAN,548
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,JAN,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,JAN,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,JAN,"78,468"
7,ETHANOL,All Vahan4 Running States (35/36),2025,JAN,189
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,JAN,0
9,LNG,All Vahan4 Running States (35/36),2025,JAN,19
10,LPG ONLY,All Vahan4 Running States (35/36),2025,JAN,"3,436"
11,METHANOL,All Vahan4 Running States (35/36),2025,JAN,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,JAN,"6,575"
13,PETROL,All Vahan4 Running States (35/36),2025,JAN,"16,11,744"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,JAN,"1,06,330"
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,JAN,8
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,JAN,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,JAN,1
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,JAN,3
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,JAN,"60,886"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,JAN,"31,657"
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,JAN,43
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,JAN,"1,328"
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,JAN,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,JAN,11
25,PURE EV,All Vahan4 Running States (35/36),2025,JAN,"92,825"
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,JAN,"9,565"
1,CNG ONLY,All Vahan4 Running States (35/36),2025,FEB,"38,943"
2,DIESEL,All Vahan4 Running States (35/36),2025,FEB,"2,10,375"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,FEB,454
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,FEB,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,FEB,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,FEB,"62,724"
7,ETHANOL,All Vahan4 Running States (35/36),2025,FEB,131
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,FEB,0
9,LNG,All Vahan4 Running States (35/36),2025,FEB,27
10,LPG ONLY,All Vahan4 Running States (35/36),2025,FEB,"2,815"
11,METHANOL,All Vahan4 Running States (35/36),2025,FEB,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,FEB,"5,167"
13,PETROL,All Vahan4 Running States (35/36),2025,FEB,"13,77,067"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,FEB,"63,320"
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,FEB,13
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,FEB,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,FEB,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,FEB,4
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,FEB,"57,411"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,FEB,"19,014"
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,FEB,15
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,FEB,700
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,FEB,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,FEB,7
25,PURE EV,All Vahan4 Running States (35/36),2025,FEB,"77,447"
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,FEB,"7,607"
1,CNG ONLY,All Vahan4 Running States (35/36),2025,MAR,"38,245"
