S No,Norms,State,Year,Month Wise,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,JAN,1
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,JAN,134
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,JAN,103
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,JAN,"3,329"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,JAN,8
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,JAN,79
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,JAN,"20,41,525"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,JAN,19
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,JAN,"90,228"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,JAN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,JAN,"4,341"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,JAN,775
13,EURO 1,All Vahan4 Running States (35/36),2025,JAN,0
14,EURO 2,All Vahan4 Running States (35/36),2025,JAN,3
15,EURO 3,All Vahan4 Running States (35/36),2025,JAN,6
16,EURO 4,All Vahan4 Running States (35/36),2025,JAN,0
17,EURO 6,All Vahan4 Running States (35/36),2025,JAN,128
18,EURO 6B,All Vahan4 Running States (35/36),2025,JAN,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,JAN,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,JAN,2
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,JAN,"1,77,873"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,JAN,"3,152"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,JAN,24
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,FEB,8
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,FEB,37
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,FEB,121
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,FEB,"2,134"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,FEB,13
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,FEB,105
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,FEB,"17,05,270"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,FEB,11
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,FEB,"62,306"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,FEB,1
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,FEB,"2,297"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,FEB,"2,205"
13,EURO 1,All Vahan4 Running States (35/36),2025,FEB,2
14,EURO 2,All Vahan4 Running States (35/36),2025,FEB,1
15,EURO 3,All Vahan4 Running States (35/36),2025,FEB,9
16,EURO 4,All Vahan4 Running States (35/36),2025,FEB,1
17,EURO 6,All Vahan4 Running States (35/36),2025,FEB,51
18,EURO 6B,All Vahan4 Running States (35/36),2025,FEB,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,FEB,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,FEB,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,FEB,"1,45,378"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,FEB,"3,278"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,FEB,12
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,MAR,4
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,MAR,57
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,MAR,131
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,MAR,"2,324"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,MAR,22
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,MAR,106
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,MAR,"18,61,359"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,MAR,5
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,MAR,"70,227"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,MAR,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,MAR,"2,483"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,MAR,"3,314"
13,EURO 1,All Vahan4 Running States (35/36),2025,MAR,1
14,EURO 2,All Vahan4 Running States (35/36),2025,MAR,7
15,EURO 3,All Vahan4 Running States (35/36),2025,MAR,10
16,EURO 4,All Vahan4 Running States (35/36),2025,MAR,0
17,EURO 6,All Vahan4 Running States (35/36),2025,MAR,73
18,EURO 6B,All Vahan4 Running States (35/36),2025,MAR,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,MAR,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,MAR,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,MAR,"2,11,484"
