S No,Vehicle Category,State,Year,Month Wise,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,JAN,296
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"32,220"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,JAN,217
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"2,120"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"69,433"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"5,99,400"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"34,910"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"5,860"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,JAN,729
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"1,809"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,JAN,"8,405"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,JAN,1
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,JAN,123
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,JAN,"1,27,034"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,JAN,"2,571"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,JAN,"18,55,410"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,JAN,"2,328"
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,FEB,188
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"25,724"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,FEB,275
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"2,431"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"46,304"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"3,40,000"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"29,663"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"4,607"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,FEB,557
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"1,708"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,FEB,"6,621"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,FEB,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,FEB,85
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,FEB,"90,413"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,FEB,"4,701"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,FEB,"13,48,380"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,FEB,"1,094"
1,HEAVY GOODS VEHICLE,Andaman & Nicobar Island(3),2026,JAN,3
2,HEAVY PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,JAN,1
3,LIGHT GOODS VEHICLE,Andaman & Nicobar Island(3),2026,JAN,19
4,LIGHT MOTOR VEHICLE,Andaman & Nicobar Island(3),2026,JAN,231
5,LIGHT PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,JAN,31
6,OTHER THAN MENTIONED ABOVE,Andaman & Nicobar Island(3),2026,JAN,1
7,THREE WHEELER(T),Andaman & Nicobar Island(3),2026,JAN,50
8,TWO WHEELER(NT),Andaman & Nicobar Island(3),2026,JAN,699
9,TWO WHEELER(T),Andaman & Nicobar Island(3),2026,JAN,30
1,HEAVY GOODS VEHICLE,Andaman & Nicobar Island(3),2026,FEB,2
2,HEAVY PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,FEB,2
3,LIGHT GOODS VEHICLE,Andaman & Nicobar Island(3),2026,FEB,12
4,LIGHT MOTOR VEHICLE,Andaman & Nicobar Island(3),2026,FEB,134
5,LIGHT PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,FEB,34
6,OTHER THAN MENTIONED ABOVE,Andaman & Nicobar Island(3),2026,FEB,0
