S No,Vehicle Class,State,Year,Month Wise,Value
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,JAN,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,JAN,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,JAN,0
4,BUS,Andaman & Nicobar Island(3),2025,JAN,1
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,JAN,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,JAN,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,JAN,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,JAN,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,JAN,19
10,HEARSES,Andaman & Nicobar Island(3),2025,JAN,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,JAN,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,JAN,4
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,JAN,475
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,JAN,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,JAN,0
16,MOPED,Andaman & Nicobar Island(3),2025,JAN,1
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,JAN,19
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,JAN,189
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,JAN,0
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,JAN,1
21,OMNI BUS,Andaman & Nicobar Island(3),2025,JAN,0
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,JAN,0
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,JAN,11
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,JAN,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,JAN,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,FEB,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,FEB,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,FEB,0
4,BUS,Andaman & Nicobar Island(3),2025,FEB,3
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,FEB,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,FEB,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,FEB,12
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,FEB,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,FEB,20
10,HEARSES,Andaman & Nicobar Island(3),2025,FEB,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,FEB,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,FEB,5
