S No,Fuel,State,Year,Norms,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS I,0
2,DIESEL,All Vahan4 Running States (35/36),2025,BS I,10
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS I,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS I,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS I,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS I,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS I,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS I,0
9,LNG,All Vahan4 Running States (35/36),2025,BS I,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS I,0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS I,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS I,0
13,PETROL,All Vahan4 Running States (35/36),2025,BS I,41
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS I,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS I,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS I,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS I,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS I,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS I,1
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS I,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS I,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS I,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS I,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS I,0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS I,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS I,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS II,0
2,DIESEL,All Vahan4 Running States (35/36),2025,BS II,251
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS II,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS II,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS II,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS II,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS II,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS II,0
9,LNG,All Vahan4 Running States (35/36),2025,BS II,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS II,0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS II,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS II,0
13,PETROL,All Vahan4 Running States (35/36),2025,BS II,512
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS II,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS II,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS II,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS II,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS II,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS II,22
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS II,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS II,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS II,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS II,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS II,0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS II,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS II,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS III,0
2,DIESEL,All Vahan4 Running States (35/36),2025,BS III,559
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS III,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS III,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS III,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS III,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS III,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS III,0
9,LNG,All Vahan4 Running States (35/36),2025,BS III,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS III,0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS III,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS III,0
13,PETROL,All Vahan4 Running States (35/36),2025,BS III,676
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS III,1
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS III,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS III,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS III,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS III,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS III,13
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS III,1
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS III,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS III,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS III,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS III,0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS III,1
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS III,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS III (CEV),0
2,DIESEL,All Vahan4 Running States (35/36),2025,BS III (CEV),"13,817"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS III (CEV),0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS III (CEV),1
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS III (CEV),0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS III (CEV),0
9,LNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS III (CEV),0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS III (CEV),0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS III (CEV),4
13,PETROL,All Vahan4 Running States (35/36),2025,BS III (CEV),2
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS III (CEV),0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS III (CEV),0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS III (CEV),0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS III (CEV),0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS III (CEV),0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS III (CEV),0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS III (CEV),0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS III (CEV),0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS III/IV,0
2,DIESEL,All Vahan4 Running States (35/36),2025,BS III/IV,61
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS III/IV,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS III/IV,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS III/IV,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS III/IV,0
9,LNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS III/IV,0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS III/IV,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS III/IV,0
13,PETROL,All Vahan4 Running States (35/36),2025,BS III/IV,476
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS III/IV,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS III/IV,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS III/IV,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS III/IV,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS III/IV,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS III/IV,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS III/IV,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS III/IV,0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS III/IV,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS III/IV,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS IV,2
2,DIESEL,All Vahan4 Running States (35/36),2025,BS IV,302
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS IV,1
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS IV,0
