S No,Vehicle Category,State,Year,Norms,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS I,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS I,3
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,BS I,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS I,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,BS I,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,BS I,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS I,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,BS I,22
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,BS I,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS II,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS II,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS II,5
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS II,1
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,BS II,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS II,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,BS II,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,BS II,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS II,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,BS II,41
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,BS II,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III,23
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III,3
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III,30
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III,81
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III,6
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,BS III,25
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,BS III,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,BS III,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,BS III,41
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,BS III,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),1
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),7
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,BS III (CEV),12
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,BS III (CEV),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,BS III (CEV),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,BS III (CEV),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,BS III (CEV),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III/IV,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,4
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,4
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,BS III/IV,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III/IV,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,BS III/IV,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,BS III/IV,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS III/IV,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,BS III/IV,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,BS III/IV,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS IV,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,10
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,1
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,15
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,103
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,11
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,1
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,BS IV,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,BS IV,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS IV,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,BS IV,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,BS IV,10
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,BS IV,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,BS IV,303
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,BS IV,0
