S No,Vehicle Class,State,Year,Norms,Value
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BS I,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BS I,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BS I,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BS I,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BS I,0
9,BUS,All Vahan4 Running States (35/36),2026,BS I,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BS I,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS I,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BS I,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BS I,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BS I,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BS I,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BS I,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BS I,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BS I,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BS I,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BS I,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BS I,0
27,HARVESTER,All Vahan4 Running States (35/36),2026,BS I,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BS I,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BS I,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BS I,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BS I,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BS I,22
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BS I,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BS I,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BS I,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BS I,0
37,MOPED,All Vahan4 Running States (35/36),2026,BS I,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BS I,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BS I,3
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BS I,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BS I,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BS I,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BS I,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS I,0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BS I,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BS I,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BS I,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
