S No,Vehicle Category,State,Year,Month,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,JAN,333
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"26,850"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,JAN,487
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"3,177"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"59,529"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"5,33,410"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"39,138"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"4,112"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,JAN,984
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,JAN,"2,359"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,JAN,"9,134"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,JAN,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,JAN,87
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,JAN,"1,06,933"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,JAN,"1,650"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,JAN,"15,32,044"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,JAN,"1,504"
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FEB,233
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"23,667"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FEB,292
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"2,411"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"47,604"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"3,49,048"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"28,509"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"3,380"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FEB,796
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FEB,"2,415"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,FEB,"7,937"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FEB,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,FEB,71
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,FEB,"94,089"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FEB,"2,666"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,FEB,"13,59,246"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,FEB,875
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,MAR,268
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"26,053"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,MAR,415
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"3,377"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"53,284"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"4,00,751"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"32,289"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"3,740"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"1,094"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,MAR,"2,891"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,MAR,"9,549"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,MAR,2
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,MAR,88
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,MAR,"99,242"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,MAR,"6,310"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,MAR,"15,14,510"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,MAR,"1,597"
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,APR,261
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,APR,"28,449"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,APR,363
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,APR,"3,176"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,APR,"45,561"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,APR,"3,92,099"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,APR,"35,497"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,APR,"3,961"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,APR,862
