S No,Fuel,State,Year,Vehicle Category,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2026,BS I,0
2,DIESEL,All Vahan4 Running States (35/36),2026,BS I,2
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,BS I,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,BS I,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,BS I,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,BS I,0
7,LNG,All Vahan4 Running States (35/36),2026,BS I,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,BS I,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,BS I,0
10,PETROL,All Vahan4 Running States (35/36),2026,BS I,23
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,BS I,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,BS I,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,BS I,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS I,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,BS I,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,BS I,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,BS I,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS I,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,BS I,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,BS I,0
21,PURE EV,All Vahan4 Running States (35/36),2026,BS I,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,BS I,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,BS II,0
2,DIESEL,All Vahan4 Running States (35/36),2026,BS II,5
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,BS II,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,BS II,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,BS II,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,BS II,0
7,LNG,All Vahan4 Running States (35/36),2026,BS II,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,BS II,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,BS II,0
10,PETROL,All Vahan4 Running States (35/36),2026,BS II,43
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,BS II,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,BS II,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,BS II,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS II,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,BS II,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,BS II,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,BS II,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS II,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,BS II,0
