S No,Norms,State,Year,Vehicle Category,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,2WIC,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,2WIC,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,2WIC,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,2WIC,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,2WIC,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,2WIC,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,2WIC,"7,268"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,2WIC,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,2WIC,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,2WIC,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,2WIC,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,2WIC,0
13,EURO 1,All Vahan4 Running States (35/36),2026,2WIC,0
14,EURO 2,All Vahan4 Running States (35/36),2026,2WIC,0
15,EURO 3,All Vahan4 Running States (35/36),2026,2WIC,0
16,EURO 6,All Vahan4 Running States (35/36),2026,2WIC,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,2WIC,4
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,2WIC,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,2WIC,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,2WN,22
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,2WN,41
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,2WN,41
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,2WN,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,2WN,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,2WN,303
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,2WN,"29,95,091"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,2WN,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,2WN,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,2WN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,2WN,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,2WN,0
13,EURO 1,All Vahan4 Running States (35/36),2026,2WN,4
14,EURO 2,All Vahan4 Running States (35/36),2026,2WN,0
15,EURO 3,All Vahan4 Running States (35/36),2026,2WN,0
16,EURO 6,All Vahan4 Running States (35/36),2026,2WN,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,2WN,"2,08,288"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,2WN,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,2WN,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,2WT,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,2WT,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,2WT,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,2WT,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,2WT,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,2WT,0
