S No,Vehicle Class,State,Year,Month,Value
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"2,867"
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,JAN,"1,07,200"
3,AMBULANCE,All Vahan4 Running States (35/36),2026,JAN,"1,203"
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,JAN,10
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,JAN,27
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"3,814"
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,JAN,5
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,JAN,5
9,BUS,All Vahan4 Running States (35/36),2026,JAN,"4,602"
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,JAN,29
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,JAN,69
12,CASH VAN,All Vahan4 Running States (35/36),2026,JAN,120
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"4,529"
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,574
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,JAN,717
16,DUMPER,All Vahan4 Running States (35/36),2026,JAN,"1,199"
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,JAN,523
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,JAN,856
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,JAN,"44,454"
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,JAN,"7,658"
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,6
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,JAN,529
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,JAN,39
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,JAN,31
25,FORK LIFT,All Vahan4 Running States (35/36),2026,JAN,68
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,JAN,"94,448"
27,HARVESTER,All Vahan4 Running States (35/36),2026,JAN,"1,998"
28,HEARSES,All Vahan4 Running States (35/36),2026,JAN,24
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,JAN,1
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,JAN,47
31,MAXI CAB,All Vahan4 Running States (35/36),2026,JAN,"2,356"
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,JAN,"18,06,234"
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,JAN,461
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,JAN,2
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,JAN,25
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,JAN,4
37,MOPED,All Vahan4 Running States (35/36),2026,JAN,"34,482"
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,JAN,"28,978"
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,JAN,"4,85,512"
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,JAN,7
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,JAN,"2,320"
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,JAN,"14,075"
43,OMNI BUS,All Vahan4 Running States (35/36),2026,JAN,464
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,JAN,"1,117"
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,JAN,342
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,JAN,197
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,JAN,6
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,1
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,JAN,2
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,JAN,35
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,JAN,12
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,JAN,25
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,17
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,JAN,"14,201"
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,JAN,"60,721"
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,JAN,123
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,JAN,1
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,JAN,11
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,"5,608"
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,467
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,JAN,"5,287"
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,JAN,"1,621"
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,JAN,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,JAN,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,JAN,19
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,JAN,10
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,JAN,41
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"4,716"
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,FEB,"61,403"
3,AMBULANCE,All Vahan4 Running States (35/36),2026,FEB,859
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,FEB,13
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,FEB,7
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"2,949"
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,FEB,12
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,FEB,1
9,BUS,All Vahan4 Running States (35/36),2026,FEB,"4,421"
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,FEB,11
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,FEB,55
12,CASH VAN,All Vahan4 Running States (35/36),2026,FEB,46
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"3,318"
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,FEB,345
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,FEB,476
16,DUMPER,All Vahan4 Running States (35/36),2026,FEB,820
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,FEB,370
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,FEB,929
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,FEB,"26,521"
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,FEB,"5,380"
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,FEB,8
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,FEB,388
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,FEB,16
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,FEB,39
25,FORK LIFT,All Vahan4 Running States (35/36),2026,FEB,63
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,FEB,"62,640"
27,HARVESTER,All Vahan4 Running States (35/36),2026,FEB,"1,730"
28,HEARSES,All Vahan4 Running States (35/36),2026,FEB,15
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,FEB,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,FEB,45
31,MAXI CAB,All Vahan4 Running States (35/36),2026,FEB,"2,111"
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,FEB,"12,42,770"
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,FEB,340
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,FEB,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,FEB,12
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,FEB,1
37,MOPED,All Vahan4 Running States (35/36),2026,FEB,"24,934"
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,FEB,"22,713"
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,FEB,"2,56,919"
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,FEB,7
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,FEB,"1,029"
