S No,Fuel,State,Year,Vehicle Class,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"3,089"
2,DIESEL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"17,389"
5,ETHANOL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,11
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
7,LNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
10,PETROL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"10,86,284"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"18,25,272"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
21,PURE EV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"1,85,216"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
2,DIESEL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,2
5,ETHANOL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
7,LNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
10,PETROL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,228
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,533
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
21,PURE EV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,48
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Moped,1
2,DIESEL,All Vahan4 Running States (35/36),2026,Moped,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Moped,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Moped,239
5,ETHANOL,All Vahan4 Running States (35/36),2026,Moped,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Moped,0
7,LNG,All Vahan4 Running States (35/36),2026,Moped,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Moped,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Moped,0
10,PETROL,All Vahan4 Running States (35/36),2026,Moped,"6,828"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Moped,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Moped,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Moped,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Moped,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Moped,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Moped,"49,832"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Moped,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Moped,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Moped,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Moped,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Moped,"3,923"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Moped,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),12
2,DIESEL,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),227
5,ETHANOL,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
7,LNG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
10,PETROL,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),"6,928"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),"16,483"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
21,PURE EV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),"1,244"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Adapted Vehicle,1
2,DIESEL,All Vahan4 Running States (35/36),2026,Adapted Vehicle,60
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
7,LNG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
10,PETROL,All Vahan4 Running States (35/36),2026,Adapted Vehicle,893
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,45
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,54
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Adapted Vehicle,29
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Adapted Vehicle,"6,650"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Adapted Vehicle,2
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
21,PURE EV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,12
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,11
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),58
2,DIESEL,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),70
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),15
5,ETHANOL,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
7,LNG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),10
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
10,PETROL,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),1
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),3
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
21,PURE EV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),51
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,Motor Car,45
2,DIESEL,All Vahan4 Running States (35/36),2026,Motor Car,"1,38,155"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,Motor Car,"1,723"
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,Motor Car,557
5,ETHANOL,All Vahan4 Running States (35/36),2026,Motor Car,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,Motor Car,0
7,LNG,All Vahan4 Running States (35/36),2026,Motor Car,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,Motor Car,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,Motor Car,1
10,PETROL,All Vahan4 Running States (35/36),2026,Motor Car,"41,992"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,Motor Car,"36,249"
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,Motor Car,"1,10,435"
