S No,Norms,State,Year,Vehicle Class,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,22
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,41
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,41
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,303
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"29,14,245"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
13,EURO 1,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,4
14,EURO 2,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
15,EURO 3,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
16,EURO 6,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"2,02,605"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,761
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
13,EURO 1,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
14,EURO 2,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
15,EURO 3,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
16,EURO 6,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,50
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Moped,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Moped,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Moped,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Moped,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Moped,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Moped,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Moped,"56,661"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Moped,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Moped,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Moped,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Moped,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Moped,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Moped,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Moped,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Moped,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Moped,0
