S No,Vehicle Category,State,Year,Vehicle Class,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,"31,17,261"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,M-Cycle/Scooter-With Side Car,0
