state_code,state_name,vehicle_group,maker,year,month,count
-1,All India,TWO WHEELER,3EV INDUSTRIES PVT LTD,2025,Vehicle Category Group,13
-1,All India,TWO WHEELER,3S INDUSTRIES PRIVATE LIMITED,2025,Vehicle Category Group,126
-1,All India,TWO WHEELER,A-1 SUREJA INDUSTRIES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,AADHYA ENTERPRISES,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,AAHANA COMMERCE PVT LTD,2025,Vehicle Category Group,1378
-1,All India,TWO WHEELER,AAKK AUTO PVT LTD,2025,Vehicle Category Group,22
-1,All India,TWO WHEELER,AARON INDUSTRIES,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,A. A. TRAILOR,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,ABZO MOTORS PVT LTD,2025,Vehicle Category Group,22
-1,All India,TWO WHEELER,ACCRETION POWER AUTOS,2025,Vehicle Category Group,23
-1,All India,TWO WHEELER,ACTION CONSTRUCTION EQUIPMENT LTD.,2025,Vehicle Category Group,816
-1,All India,TWO WHEELER,A D AGRO WORKS,2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,ADARSH ROTAVATOR SALES,2025,Vehicle Category Group,10
-1,All India,TWO WHEELER,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2025,Vehicle Category Group,114
-1,All India,TWO WHEELER,ADIDEV TECHNOA PVT LTD,2025,Vehicle Category Group,551
-1,All India,TWO WHEELER,ADISHWAR AUTO RIDE INDIA PVT LTD,2025,Vehicle Category Group,18
-1,All India,TWO WHEELER,ADITYA SAI INDUSTRIES,2025,Vehicle Category Group,21
-1,All India,TWO WHEELER,ADM TECHNOLOGIES PVT. LTD.,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,AERODRIVE PVT LTD,2025,Vehicle Category Group,21
-1,All India,TWO WHEELER,AEROEAGLE AUTOMOBILES PVT LTD,2025,Vehicle Category Group,29
-1,All India,TWO WHEELER,AFKON AUTOMOTIVES PVT LTD,2025,Vehicle Category Group,72
-1,All India,TWO WHEELER,AGI AUTO INDUSTRIES,2025,Vehicle Category Group,15
-1,All India,TWO WHEELER,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2025,Vehicle Category Group,20
-1,All India,TWO WHEELER,AGRO INDUSTRIES,2025,Vehicle Category Group,11
-1,All India,TWO WHEELER,AGRO TRAILERS AP312870751,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,AJANTA KRUSHI YANTRA,2025,Vehicle Category Group,13
-1,All India,TWO WHEELER,AJAX ENGINEERING LTD,2025,Vehicle Category Group,464
-1,All India,TWO WHEELER,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,AJAY MOTORS PRIVATE LIMITED,2025,Vehicle Category Group,20
-1,All India,TWO WHEELER,A.J ENTERPRISES,2025,Vehicle Category Group,16
-1,All India,TWO WHEELER,AKAL AGRO INDUSTRY,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AKASH TRAILOR,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AKG INTERNATIONAL,2025,Vehicle Category Group,166
-1,All India,TWO WHEELER,A K GUPTA & CO.,2025,Vehicle Category Group,26
-1,All India,TWO WHEELER,AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AKSHAY INDUSTRIES,2025,Vehicle Category Group,16
-1,All India,TWO WHEELER,ALBEDO VISION PVT LTD,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,ALIED E MOBILITY PVT LTD,2025,Vehicle Category Group,34
-1,All India,TWO WHEELER,"AL-KHADEER ENGINEERING WORKS, KURNOOL AP117791028",2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,ALLFINE INDUSTRIES PVT LTD,2025,Vehicle Category Group,195
-1,All India,TWO WHEELER,ALL TERRAIN CRANE,2025,Vehicle Category Group,122
-1,All India,TWO WHEELER,ALTIER ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,164
-1,All India,TWO WHEELER,ALTIUS TECHNOLOGIES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ALVI AUTO,2025,Vehicle Category Group,10
-1,All India,TWO WHEELER,AMAN AUTOMOBILES,2025,Vehicle Category Group,30
-1,All India,TWO WHEELER,AMAN ELECTRIC VEHICLES,2025,Vehicle Category Group,78
-1,All India,TWO WHEELER,AMAN ENTERPRISES BHPATNA,2025,Vehicle Category Group,21
-1,All India,TWO WHEELER,AMAR ENGG. WORKS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AMARJEET HARVESTER INDUSTRY,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,AMBICA IRON WORKS,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,AMBICA WELDING WORKS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AMBIKA ENTERPRISES,2025,Vehicle Category Group,29
-1,All India,TWO WHEELER,AMBIKA INDUSTRIES,2025,Vehicle Category Group,122
-1,All India,TWO WHEELER,AMIR KHAN SAIFI STEEL WORKS,2025,Vehicle Category Group,8
-1,All India,TWO WHEELER,AMMANN APOLLO INDIA PVT LTD,2025,Vehicle Category Group,19
-1,All India,TWO WHEELER,AMPERE VEHICLES PRIVATE LIMITED,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AMRIT AGRO INDUSTRIES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,A N ENTERPRISES,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,ANGAD AGRO INDUSTRIES,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,ANIL INDUSTRIES,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,ANJALI AUTO COMPONENTS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ANJALI TRADERS,2025,Vehicle Category Group,62
-1,All India,TWO WHEELER,ANJNEY EARTHMOVERS AND ENGINEERING,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,ANJ TECH,2025,Vehicle Category Group,14
-1,All India,TWO WHEELER,ANNAPURNA TRAILER IMPLEMENTS AP312671033,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,ANTARK ENERGY,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ANVITA AUTO TECH WORKS PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AOMBRAY ELECTRIC VEHICLE PVT LTD,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,A P I MOTORS PVT LTD,2025,Vehicle Category Group,80
-1,All India,TWO WHEELER,APM AUTO SALES,2025,Vehicle Category Group,132
-1,All India,TWO WHEELER,APOLLO CARMIX EQUIPMENTS PVT LTD,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,APSARA ENTERPRISE,2025,Vehicle Category Group,661
-1,All India,TWO WHEELER,A R AGRO TECH,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,ARCHIT ENTERPRISES,2025,Vehicle Category Group,101
-1,All India,TWO WHEELER,ARIN TRACTORS PVT LTD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,ARJUN AGRO INDUSTRIES,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,ARJUN INDUSTRIES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,A.R. MOTOR,2025,Vehicle Category Group,69
-1,All India,TWO WHEELER,ARNA ELECTRIC AUTO PVT LTD,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,ARROW AUTOMOTIVE,2025,Vehicle Category Group,519
-1,All India,TWO WHEELER,ARYAN INDUSTRIES,2025,Vehicle Category Group,13
-1,All India,TWO WHEELER,ASHA IMPEX,2025,Vehicle Category Group,14
-1,All India,TWO WHEELER,ASHMA-MOTORS PVT LTD,2025,Vehicle Category Group,94
-1,All India,TWO WHEELER,ASHOK LEYLAND LTD,2025,Vehicle Category Group,19038
-1,All India,TWO WHEELER,ASTON MARTIN LAGONDA LTD,2025,Vehicle Category Group,1
