state_code,state_name,vehicle_group,maker,year,count
-1,All India,TWO WHEELER,ADAPTED VEHICLE,2WIC,7112
-1,All India,TWO WHEELER,ADAPTED VEHICLE,2WN,0
-1,All India,TWO WHEELER,ADAPTED VEHICLE,2WT,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER,2WIC,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER,2WN,3027647
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER,2WT,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,796
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0
-1,All India,TWO WHEELER,MOPED,2WIC,0
-1,All India,TWO WHEELER,MOPED,2WN,59124
-1,All India,TWO WHEELER,MOPED,2WT,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WIC,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WN,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WT,14
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,3349
-1,All India,TWO WHEELER,MOTORISED CYCLE (CC > 25CC),2WIC,0
-1,All India,TWO WHEELER,MOTORISED CYCLE (CC > 25CC),2WN,24245
-1,All India,TWO WHEELER,MOTORISED CYCLE (CC > 25CC),2WT,0
-1,All India,TWO WHEELER,ADAPTED VEHICLE,2WIC,7112
-1,All India,TWO WHEELER,ADAPTED VEHICLE,2WN,0
-1,All India,TWO WHEELER,ADAPTED VEHICLE,2WT,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER,2WIC,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER,2WN,3027647
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER,2WT,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,796
-1,All India,TWO WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0
-1,All India,TWO WHEELER,MOPED,2WIC,0
-1,All India,TWO WHEELER,MOPED,2WN,59124
-1,All India,TWO WHEELER,MOPED,2WT,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WIC,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WN,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WT,14
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0
-1,All India,TWO WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,3349
-1,All India,TWO WHEELER,MOTORISED CYCLE (CC > 25CC),2WIC,0
-1,All India,TWO WHEELER,MOTORISED CYCLE (CC > 25CC),2WN,24245
-1,All India,TWO WHEELER,MOTORISED CYCLE (CC > 25CC),2WT,0
-1,All India,THREE WHEELER,ADAPTED VEHICLE,2WIC,7112
-1,All India,THREE WHEELER,ADAPTED VEHICLE,2WN,0
-1,All India,THREE WHEELER,ADAPTED VEHICLE,2WT,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,2WIC,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,2WN,3027647
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,2WT,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,796
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0
-1,All India,THREE WHEELER,MOPED,2WIC,0
-1,All India,THREE WHEELER,MOPED,2WN,59124
-1,All India,THREE WHEELER,MOPED,2WT,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WIC,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WN,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WT,14
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,3349
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),2WIC,0
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),2WN,24245
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),2WT,0
-1,All India,THREE WHEELER,3EV INDUSTRIES PVT LTD,2WIC,142
-1,All India,THREE WHEELER,3EV INDUSTRIES PVT LTD,2WN,0
-1,All India,THREE WHEELER,3EV INDUSTRIES PVT LTD,2WT,1
-1,All India,THREE WHEELER,3EV INDUSTRIES PVT LTD,,1
-1,All India,THREE WHEELER,3EV INDUSTRIES PVT LTD,,12
-1,All India,THREE WHEELER,3GB TECHNOLOGY PVT LTD,2WIC,7
-1,All India,THREE WHEELER,3GB TECHNOLOGY PVT LTD,2WN,5
-1,All India,THREE WHEELER,3GB TECHNOLOGY PVT LTD,2WT,41
-1,All India,THREE WHEELER,3GB TECHNOLOGY PVT LTD,,50
-1,All India,THREE WHEELER,3GB TECHNOLOGY PVT LTD,,24
-1,All India,THREE WHEELER,3S INDUSTRIES PRIVATE LIMITED,2WIC,67
-1,All India,THREE WHEELER,3S INDUSTRIES PRIVATE LIMITED,2WN,142
-1,All India,THREE WHEELER,3S INDUSTRIES PRIVATE LIMITED,2WT,103
-1,All India,THREE WHEELER,3S INDUSTRIES PRIVATE LIMITED,,6
-1,All India,THREE WHEELER,3S INDUSTRIES PRIVATE LIMITED,,9
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,2WIC,0
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,2WN,0
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,2WT,0
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,,1
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,,1
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,2WIC,7
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,2WN,37
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,2WT,121
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,,35
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,,18
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,2WIC,0
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,2WN,0
