state_code,state_name,year,count,growth_pct
-1,All India,Till Today,9097891078269,
-1,All India,2026:,168025884671,
-1,All India,2025:,1058575135796,7.23%
-1,All India,2024:,987238756251,12.61%
-1,All India,2023:,876711594521,16.36%
-1,All India,2022:,753453477008,
AN,Andaman & Nicobar Island,Till Today,9097891078269,
AN,Andaman & Nicobar Island,2026:,168025884671,
AN,Andaman & Nicobar Island,2025:,1058575135796,7.23%
AN,Andaman & Nicobar Island,2024:,987238756251,12.61%
AN,Andaman & Nicobar Island,2023:,876711594521,16.36%
AN,Andaman & Nicobar Island,2022:,753453477008,
AP,Andhra Pradesh,Till Today,9097891078269,
AP,Andhra Pradesh,2026:,168025884671,
AP,Andhra Pradesh,2025:,1058575135796,7.23%
AP,Andhra Pradesh,2024:,987238756251,12.61%
AP,Andhra Pradesh,2023:,876711594521,16.36%
AP,Andhra Pradesh,2022:,753453477008,
AR,Arunachal Pradesh,Till Today,9097891078269,
AR,Arunachal Pradesh,2026:,168025884671,
AR,Arunachal Pradesh,2025:,1058575135796,7.23%
AR,Arunachal Pradesh,2024:,987238756251,12.61%
AR,Arunachal Pradesh,2023:,876711594521,16.36%
AR,Arunachal Pradesh,2022:,753453477008,
AS,Assam,Till Today,9097891078269,
AS,Assam,2026:,168025884671,
AS,Assam,2025:,1058575135796,7.23%
AS,Assam,2024:,987238756251,12.61%
AS,Assam,2023:,876711594521,16.36%
AS,Assam,2022:,753453477008,
BR,Bihar,Till Today,9097891078269,
BR,Bihar,2026:,168025884671,
BR,Bihar,2025:,1058575135796,7.23%
BR,Bihar,2024:,987238756251,12.61%
BR,Bihar,2023:,876711594521,16.36%
BR,Bihar,2022:,753453477008,
CG,Chhattisgarh,Till Today,9097891078269,
CG,Chhattisgarh,2026:,168025884671,
CG,Chhattisgarh,2025:,1058575135796,7.23%
CG,Chhattisgarh,2024:,987238756251,12.61%
CG,Chhattisgarh,2023:,876711594521,16.36%
CG,Chhattisgarh,2022:,753453477008,
CH,Chandigarh,Till Today,9097891078269,
CH,Chandigarh,2026:,168025884671,
CH,Chandigarh,2025:,1058575135796,7.23%
CH,Chandigarh,2024:,987238756251,12.61%
CH,Chandigarh,2023:,876711594521,16.36%
CH,Chandigarh,2022:,753453477008,
DD,UT of DNH and DD,Till Today,9097891078269,
DD,UT of DNH and DD,2026:,168025884671,
DD,UT of DNH and DD,2025:,1058575135796,7.23%
DD,UT of DNH and DD,2024:,987238756251,12.61%
DD,UT of DNH and DD,2023:,876711594521,16.36%
DD,UT of DNH and DD,2022:,753453477008,
DL,Delhi,Till Today,9097891078269,
DL,Delhi,2026:,168025884671,
DL,Delhi,2025:,1058575135796,7.23%
DL,Delhi,2024:,987238756251,12.61%
DL,Delhi,2023:,876711594521,16.36%
DL,Delhi,2022:,753453477008,
GA,Goa,Till Today,9097891078269,
GA,Goa,2026:,168025884671,
GA,Goa,2025:,1058575135796,7.23%
GA,Goa,2024:,987238756251,12.61%
GA,Goa,2023:,876711594521,16.36%
GA,Goa,2022:,753453477008,
GJ,Gujarat,Till Today,9097891078269,
GJ,Gujarat,2026:,168025884671,
GJ,Gujarat,2025:,1058575135796,7.23%
GJ,Gujarat,2024:,987238756251,12.61%
GJ,Gujarat,2023:,876711594521,16.36%
GJ,Gujarat,2022:,753453477008,
HP,Himachal Pradesh,Till Today,9097891078269,
HP,Himachal Pradesh,2026:,168025884671,
