state_code,state_name,rto_code,rto_name
AN,Andaman & Nicobar Island,201,Baratang - AN201( 29-NOV-2024 )
AN,Andaman & Nicobar Island,212,Campbell Bay - AN212( 18-FEB-2022 )
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 )
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 )
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 )
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 )
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 )
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 )
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 )
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 )
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 )
AP,Andhra Pradesh,212,Campbell Bay - AN212( 18-FEB-2022 )
AP,Andhra Pradesh,211,Car Nicobar - AN211( 23-FEB-2023 )
AP,Andhra Pradesh,204,Diglipur - AN204( 09-NOV-2021 )
AP,Andhra Pradesh,200,Ferrargunj - AN200( 12-OCT-2021 )
AP,Andhra Pradesh,207,Little Andaman - AN207( 17-FEB-2025 )
AP,Andhra Pradesh,203,Mayabunder - AN203( 09-NOV-2021 )
AP,Andhra Pradesh,1,Port Blair DTO - AN1( 15-AUG-2020 )
AP,Andhra Pradesh,202,Rangat - AN202( 17-NOV-2021 )
AP,Andhra Pradesh,206,Swaraj Dweep - AN206( 29-NOV-2021 )
AR,Arunachal Pradesh,221,Adoni RTO - AP221( 06-MAY-2022 )
AR,Arunachal Pradesh,205,Amalapuram RTA - AP205( 25-APR-2022 )
AR,Arunachal Pradesh,131,Anakapalli RTA - AP131( 25-APR-2022 )
AR,Arunachal Pradesh,2,Anantapur RTA - AP2( 25-APR-2022 )
AR,Arunachal Pradesh,321,Atmakur-Kurnool MVI Office - AP321( 06-MAY-2022 )
AR,Arunachal Pradesh,126,Atmakur MVI Office - AP126( 11-MAY-2022 )
AR,Arunachal Pradesh,104,Badvel MVI Office - AP104( 06-MAY-2022 )
AR,Arunachal Pradesh,207,BAPATLA RTO OFFICE - AP207( 25-APR-2022 )
AR,Arunachal Pradesh,137,Bhimavaram RTA - AP137( 25-APR-2022 )
AR,Arunachal Pradesh,307,Chilakaluripeta MVI Office - AP307( 06-MAY-2022 )
AR,Arunachal Pradesh,905,Chintoor - AP905( 09-JUN-2022 )
AR,Arunachal Pradesh,127,Chirala UO - AP127( 06-MAY-2022 )
AR,Arunachal Pradesh,3,Chittoor RTA - AP3( 25-APR-2022 )
AR,Arunachal Pradesh,4,Cuddapah RTA - AP4( 25-APR-2022 )
AR,Arunachal Pradesh,427,Darsi UO - AP427( 11-MAY-2022 )
AR,Arunachal Pradesh,837,Devarapalli Unit Office - AP837( 19-AUG-2025 )
AR,Arunachal Pradesh,602,Dharamavaram unit office - AP602( 04-DEC-2024 )
AR,Arunachal Pradesh,421,Dhone MVI Office - AP421( 06-MAY-2022 )
