state_code,state_name,year,count,growth_pct
-1,All India,Till Today,1726904630,
-1,All India,2026:,15414033,
-1,All India,2025:,104042663,7.22%
-1,All India,2024:,97033695,7.83%
-1,All India,2023:,89984536,6.38%
-1,All India,2022:,84583979,
AN,Andaman & Nicobar Island,Till Today,1726904630,
AN,Andaman & Nicobar Island,2026:,15414033,
AN,Andaman & Nicobar Island,2025:,104042663,7.22%
AN,Andaman & Nicobar Island,2024:,97033695,7.83%
AN,Andaman & Nicobar Island,2023:,89984536,6.38%
AN,Andaman & Nicobar Island,2022:,84583979,
AP,Andhra Pradesh,Till Today,1726904630,
AP,Andhra Pradesh,2026:,15414033,
AP,Andhra Pradesh,2025:,104042663,7.22%
AP,Andhra Pradesh,2024:,97033695,7.83%
AP,Andhra Pradesh,2023:,89984536,6.38%
AP,Andhra Pradesh,2022:,84583979,
AR,Arunachal Pradesh,Till Today,1726904630,
AR,Arunachal Pradesh,2026:,15414033,
AR,Arunachal Pradesh,2025:,104042663,7.22%
AR,Arunachal Pradesh,2024:,97033695,7.83%
AR,Arunachal Pradesh,2023:,89984536,6.38%
AR,Arunachal Pradesh,2022:,84583979,
AS,Assam,Till Today,1726904630,
AS,Assam,2026:,15414033,
AS,Assam,2025:,104042663,7.22%
AS,Assam,2024:,97033695,7.83%
AS,Assam,2023:,89984536,6.38%
AS,Assam,2022:,84583979,
BR,Bihar,Till Today,1726904630,
BR,Bihar,2026:,15414033,
BR,Bihar,2025:,104042663,7.22%
BR,Bihar,2024:,97033695,7.83%
BR,Bihar,2023:,89984536,6.38%
BR,Bihar,2022:,84583979,
CG,Chhattisgarh,Till Today,1726904630,
CG,Chhattisgarh,2026:,15414033,
CG,Chhattisgarh,2025:,104042663,7.22%
CG,Chhattisgarh,2024:,97033695,7.83%
CG,Chhattisgarh,2023:,89984536,6.38%
CG,Chhattisgarh,2022:,84583979,
CH,Chandigarh,Till Today,1726904630,
CH,Chandigarh,2026:,15414033,
CH,Chandigarh,2025:,104042663,7.22%
CH,Chandigarh,2024:,97033695,7.83%
CH,Chandigarh,2023:,89984536,6.38%
CH,Chandigarh,2022:,84583979,
DD,UT of DNH and DD,Till Today,1726904630,
DD,UT of DNH and DD,2026:,15414033,
DD,UT of DNH and DD,2025:,104042663,7.22%
DD,UT of DNH and DD,2024:,97033695,7.83%
DD,UT of DNH and DD,2023:,89984536,6.38%
DD,UT of DNH and DD,2022:,84583979,
DL,Delhi,Till Today,1726904630,
DL,Delhi,2026:,15414033,
DL,Delhi,2025:,104042663,7.22%
DL,Delhi,2024:,97033695,7.83%
DL,Delhi,2023:,89984536,6.38%
DL,Delhi,2022:,84583979,
GA,Goa,Till Today,1726904630,
GA,Goa,2026:,15414033,
GA,Goa,2025:,104042663,7.22%
GA,Goa,2024:,97033695,7.83%
GA,Goa,2023:,89984536,6.38%
GA,Goa,2022:,84583979,
GJ,Gujarat,Till Today,1726904630,
GJ,Gujarat,2026:,15414033,
GJ,Gujarat,2025:,104042663,7.22%
GJ,Gujarat,2024:,97033695,7.83%
GJ,Gujarat,2023:,89984536,6.38%
GJ,Gujarat,2022:,84583979,
HP,Himachal Pradesh,Till Today,1726904630,
HP,Himachal Pradesh,2026:,15414033,
HP,Himachal Pradesh,2025:,104042663,7.22%
HP,Himachal Pradesh,2024:,97033695,7.83%
HP,Himachal Pradesh,2023:,89984536,6.38%
HP,Himachal Pradesh,2022:,84583979,
HR,Haryana,Till Today,1726904630,
HR,Haryana,2026:,15414033,
HR,Haryana,2025:,104042663,7.22%
HR,Haryana,2024:,97033695,7.83%
HR,Haryana,2023:,89984536,6.38%
HR,Haryana,2022:,84583979,
JH,Jharkhand,Till Today,1726904630,
JH,Jharkhand,2026:,15414033,
JH,Jharkhand,2025:,104042663,7.22%
JH,Jharkhand,2024:,97033695,7.83%
JH,Jharkhand,2023:,89984536,6.38%
JH,Jharkhand,2022:,84583979,
JK,Jammu and Kashmir,Till Today,1726904630,
JK,Jammu and Kashmir,2026:,15414033,
JK,Jammu and Kashmir,2025:,104042663,7.22%
JK,Jammu and Kashmir,2024:,97033695,7.83%
JK,Jammu and Kashmir,2023:,89984536,6.38%
JK,Jammu and Kashmir,2022:,84583979,
KA,Karnataka,Till Today,1726904630,
KA,Karnataka,2026:,15414033,
KA,Karnataka,2025:,104042663,7.22%
KA,Karnataka,2024:,97033695,7.83%
KA,Karnataka,2023:,89984536,6.38%
KA,Karnataka,2022:,84583979,
KL,Kerala,Till Today,1726904630,
KL,Kerala,2026:,15414033,
KL,Kerala,2025:,104042663,7.22%
KL,Kerala,2024:,97033695,7.83%
KL,Kerala,2023:,89984536,6.38%
KL,Kerala,2022:,84583979,
LA,Ladakh,Till Today,1726904630,
LA,Ladakh,2026:,15414033,
LA,Ladakh,2025:,104042663,7.22%
LA,Ladakh,2024:,97033695,7.83%
LA,Ladakh,2023:,89984536,6.38%
LA,Ladakh,2022:,84583979,
LD,Lakshadweep,Till Today,1726904630,
LD,Lakshadweep,2026:,15414033,
LD,Lakshadweep,2025:,104042663,7.22%
LD,Lakshadweep,2024:,97033695,7.83%
LD,Lakshadweep,2023:,89984536,6.38%
LD,Lakshadweep,2022:,84583979,
MH,Maharashtra,Till Today,1726904630,
MH,Maharashtra,2026:,15414033,
MH,Maharashtra,2025:,104042663,7.22%
MH,Maharashtra,2024:,97033695,7.83%
MH,Maharashtra,2023:,89984536,6.38%
MH,Maharashtra,2022:,84583979,
ML,Meghalaya,Till Today,1726904630,
ML,Meghalaya,2026:,15414033,
ML,Meghalaya,2025:,104042663,7.22%
ML,Meghalaya,2024:,97033695,7.83%
ML,Meghalaya,2023:,89984536,6.38%
ML,Meghalaya,2022:,84583979,
MN,Manipur,Till Today,1726904630,
MN,Manipur,2026:,15414033,
MN,Manipur,2025:,104042663,7.22%
MN,Manipur,2024:,97033695,7.83%
MN,Manipur,2023:,89984536,6.38%
MN,Manipur,2022:,84583979,
MP,Madhya Pradesh,Till Today,1726904630,
MP,Madhya Pradesh,2026:,15414033,
MP,Madhya Pradesh,2025:,104042663,7.22%
MP,Madhya Pradesh,2024:,97033695,7.83%
MP,Madhya Pradesh,2023:,89984536,6.38%
MP,Madhya Pradesh,2022:,84583979,
MZ,Mizoram,Till Today,1726904630,
MZ,Mizoram,2026:,15414033,
MZ,Mizoram,2025:,104042663,7.22%
MZ,Mizoram,2024:,97033695,7.83%
MZ,Mizoram,2023:,89984536,6.38%
MZ,Mizoram,2022:,84583979,
NL,Nagaland,Till Today,1726904630,
NL,Nagaland,2026:,15414033,
NL,Nagaland,2025:,104042663,7.22%
NL,Nagaland,2024:,97033695,7.83%
