state_code,state_name,vehicle_group,vehicle_class,year,count
-1,All India,TWO WHEELER,ADAPTED VEHICLE,4WIC,465
-1,All India,TWO WHEELER,ADAPTED VEHICLE,LMV,0
-1,All India,TWO WHEELER,ADAPTED VEHICLE,MMV,0
-1,All India,TWO WHEELER,ADAPTED VEHICLE,HMV,0
-1,All India,TWO WHEELER,ADAPTED VEHICLE,TOTAL,465
-1,All India,TWO WHEELER,MOTOR CAR,4WIC,0
-1,All India,TWO WHEELER,MOTOR CAR,LMV,728152
-1,All India,TWO WHEELER,MOTOR CAR,MMV,0
-1,All India,TWO WHEELER,MOTOR CAR,HMV,0
-1,All India,TWO WHEELER,MOTOR CAR,TOTAL,728152
-1,All India,TWO WHEELER,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,TWO WHEELER,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,TWO WHEELER,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,TWO WHEELER,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,TWO WHEELER,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,TWO WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,TWO WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,TWO WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,TWO WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,TWO WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,TWO WHEELER,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,TWO WHEELER,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,TWO WHEELER,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,TWO WHEELER,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,TWO WHEELER,QUADRICYCLE (PRIVATE),TOTAL,2
-1,All India,THREE WHEELER,ADAPTED VEHICLE,2WIC,7088
-1,All India,THREE WHEELER,ADAPTED VEHICLE,2WN,0
-1,All India,THREE WHEELER,ADAPTED VEHICLE,2WT,0
-1,All India,THREE WHEELER,ADAPTED VEHICLE,TOTAL,7088
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,2WIC,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,2WN,2980065
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,2WT,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER,TOTAL,2980065
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,790
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0
-1,All India,THREE WHEELER,M-CYCLE/SCOOTER-WITH SIDE CAR,TOTAL,790
-1,All India,THREE WHEELER,MOPED,2WIC,0
-1,All India,THREE WHEELER,MOPED,2WN,58236
-1,All India,THREE WHEELER,MOPED,2WT,0
-1,All India,THREE WHEELER,MOPED,TOTAL,58236
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WIC,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WN,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),2WT,14
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-SIDECAR(T),TOTAL,14
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,3319
-1,All India,THREE WHEELER,MOTOR CYCLE/SCOOTER-USED FOR HIRE,TOTAL,3319
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),2WIC,0
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),2WN,23924
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),2WT,0
-1,All India,THREE WHEELER,MOTORISED CYCLE (CC > 25CC),TOTAL,23924
-1,All India,FOUR WHEELER,ADAPTED VEHICLE,4WIC,465
-1,All India,FOUR WHEELER,ADAPTED VEHICLE,LMV,0
-1,All India,FOUR WHEELER,ADAPTED VEHICLE,MMV,0
-1,All India,FOUR WHEELER,ADAPTED VEHICLE,HMV,0
-1,All India,FOUR WHEELER,ADAPTED VEHICLE,TOTAL,465
-1,All India,FOUR WHEELER,MOTOR CAR,4WIC,0
-1,All India,FOUR WHEELER,MOTOR CAR,LMV,728152
-1,All India,FOUR WHEELER,MOTOR CAR,MMV,0
-1,All India,FOUR WHEELER,MOTOR CAR,HMV,0
-1,All India,FOUR WHEELER,MOTOR CAR,TOTAL,728152
-1,All India,FOUR WHEELER,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,FOUR WHEELER,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,FOUR WHEELER,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,FOUR WHEELER,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,FOUR WHEELER,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,FOUR WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,FOUR WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,FOUR WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,FOUR WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,FOUR WHEELER,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,FOUR WHEELER,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,FOUR WHEELER,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,FOUR WHEELER,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,FOUR WHEELER,QUADRICYCLE (PRIVATE),HMV,0
